itemNumber,fileName,dbIndex,dbType,dbSmith,dbMei,dbPeriod
135,JT-48-1-128 Sadatsuna,14262,Wakizashi,Kunisuke,Gakumei 国資,Late Kamakura - Nanbokucho
136,JT-48-1-129 Sadatsuna,14375,Katana,Enju,Mumei [延寿],Late Kamakura - Nanbokucho
137,JT-48-1-130 Sadatsuna,14376,Katana,Enju,Mumei [延寿],Late Kamakura - Nanbokucho
138,JT-48-1-131 Hojoji,14389,Katana,Enju,Mumei [延寿],Late Kamakura - Nanbokucho
139,JT-48-1-132 Sa Sadayoshi,14409,Katana,Enju,Mumei [延寿],Late Kamakura - Nanbokucho
140,JT-48-1-133 Sa Kunihiro,15003,Naginata,Kawachi Kunisuke,河内守国助,Early Edo
141,JT-48-1-134 Kuniyoshi,,,,,
142,JT-48-1-135 Kunisuke,,,,,
143,JT-48-1-136 Kunisuke,,,,,
144,JT-48-1-137 Enju,,,,,
145,JT-48-1-138 Enju,,,,,
146,JT-48-1-139 Enju,,,,,
147,JT-48-1-140 Enju,,,,,
